statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,scope,v5_compatible,needs_repair
S0001,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,7,first-crossing obstruction definition,Audit `first-crossing obstruction row => Q_R2Q > 0.75`.,theorem_or_unspecified,True,False
S0002,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,7,Q_R2Q threshold meaning,Audit `first-crossing obstruction row => Q_R2Q > 0.75`.,theorem_or_unspecified,True,False
S0003,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,7,0.75 constant justification,Audit `first-crossing obstruction row => Q_R2Q > 0.75`.,theorem_or_unspecified,True,False
S0004,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,11,FullFCL threshold statement,- Classification: `fullfcl_backed_certificate_conditional`.,theorem_or_unspecified,True,False
S0005,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,11,certificate result statement,- Classification: `fullfcl_backed_certificate_conditional`.,theorem_or_unspecified,True,False
S0006,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,12,certificate result statement,- Rows checked: `10140`.,theorem_or_unspecified,True,False
S0007,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,13,certificate result statement,- Expected rows: `10140`.,theorem_or_unspecified,True,False
S0008,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,14,threshold relevance definition,- Threshold relevance failures: `0`.,theorem_or_unspecified,True,False
S0009,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,15,first-crossing obstruction definition,- Surviving obstruction candidates: `0`.,candidate_set,True,False
S0010,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,15,continuous/discrete scope statement,- Surviving obstruction candidates: `0`.,candidate_set,True,False
