statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,coverage_mode,v5_compatible,needs_repair
S0001,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,1,coverage theorem,# Prime Mesh R2Q — First-Crossing Covering Localization Closure Update,unclear,True,False
S0002,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,194,row family definition,\text{negative local theta rows transfer into the R2Q/B2 channel.},theta_window,True,False
S0003,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,200,row family definition,\text{positive local theta rows remain harmless.},theta_window,True,False
S0004,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,344,covered domain,Let \(x_1\ge P_0\) be a first crossing of either:,unclear,True,False
S0005,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,349,row family definition,Then there exists a compatible B2/R2Q interval:,unclear,True,False
S0006,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,352,row family definition,"J=[y,y+h]",unclear,True,False
S0007,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,357,covered domain,1. \(x_1\) is covered by \(J\);,unclear,True,False
S0008,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,415,endpoint/window selection rule,### FCL-1 — Window selection,endpoint_or_window,True,False
S0009,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md,417,covered domain,Prove every \(x_1\ge P_0\) is covered by the B2/R2Q block system.,unclear,True,False
S0010,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,1,coverage theorem,# Prime Mesh R2Q — First-Crossing Covering Localization Conditional Theorem,unclear,True,False
S0011,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,85,coverage theorem,The First-Crossing Covering Localization theorem is the shared structural bridge behind both:,unclear,True,False
S0012,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,101,row family definition,"\text{global envelope fails, but no local B2/R2Q interval sees it}.",unclear,True,False
S0013,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,123,finite-zone rule,P_0=500M.,unclear,True,False
