statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,continuous_or_discrete,v5_compatible,needs_repair
S0001,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,7,continuous all-x claim,**Purpose:** Attack the theorem that every post-\(P_0\) continuous all-\(x\) first crossing enters the audited FullFCL/theta candidate universe.,continuous,True,False
S0002,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,7,candidate window selection rule,**Purpose:** Attack the theorem that every post-\(P_0\) continuous all-\(x\) first crossing enters the audited FullFCL/theta candidate universe.,continuous,True,False
S0003,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,17,candidate window selection rule,\text{every post-}P_0\text{ continuous all-}x\text{ RH-scale first crossing enters the audited FullFCL/theta candidate universe.},continuous,True,False
S0004,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,26,gap-free coverage claim,1469/1469,unspecified,True,False
S0005,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,83,global error process definition,Let \(G(x)\) be the selected global error process:,unspecified,True,False
S0006,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,86,global error process definition,G(x)=\psi(x)-x,unspecified,True,False
S0007,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,92,global error process definition,G(x)=\pi(x)-\operatorname{Li}(x).,unspecified,True,False
S0008,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,113,candidate window selection rule,Then there exists an audited FullFCL/theta candidate row \(J_0\) such that \(J_0\) records this first crossing.,unspecified,True,False
S0009,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,161,theta-window continuity claim,"If the first crossing occurs in the interior of \(J_0\), then the endpoint or sampled theta window detects an equal or larger normalized obstruction.",discrete_or_window,True,False
S0010,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,184,candidate window selection rule,\text{some selected subwindow detects it}.,discrete_or_window,True,False
S0011,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,191,gap-free coverage claim,Need to show no gaps between windows:,discrete_or_window,True,False
S0012,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,194,theta-window continuity claim,\bigcup_J \Theta(J),unspecified,True,False
S0013,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,199,sampled-grid caveat,### Threat 3 — sampled-grid H-Exc confusion,unspecified,True,False
S0014,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,201,sampled-grid caveat,H-Exc is sampled-grid only. ContinuousWindowSelection must not rely on:,continuous,True,False
S0015,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,204,sampled-grid caveat,T_J,unspecified,True,False
S0016,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,211,global error process definition,"If \(G(x)=\pi(x)-\operatorname{Li}(x)\) or \(G(x)=\psi(x)-x\), the process has jumps at primes or prime powers and smooth drift between jumps. The first crossing may occur:",unspecified,True,False
S0017,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,211,step drift analysis,"If \(G(x)=\pi(x)-\operatorname{Li}(x)\) or \(G(x)=\psi(x)-x\), the process has jumps at primes or prime powers and smooth drift between jumps. The first crossing may occur:",unspecified,True,False
S0018,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,215,step drift analysis,3. by smooth envelope drift between jumps;,unspecified,True,False
S0019,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,230,global error process definition,1. \(G(x)\) jumps outward;,unspecified,True,False
S0020,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,231,global error process definition,2. the envelope changes relative to \(G(x)\);,unspecified,True,False
S0021,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,237,global error process definition,R(x)=\frac{G(x)}{\mathcal E(x)},unspecified,True,False
