gap_id,gap_start,gap_end,gap_length,left_candidate_id,right_candidate_id,left_candidate_type,right_candidate_type,post_P0,contains_jump_event,jump_event_count,contains_prime_jump,contains_prime_power_jump,upper_exit_possible,lower_exit_possible,lower_bracket_available,subthreshold_safe,O2_safe,B3_safe,finite_certificate_safe,non_surviving_safe,generator_contradiction_safe,monotone_safe,envelope_margin_safe,gap_safety_class,gap_safety_pass,gap_safety_reason,missing_data_flags,needed_data_or_lemma
gap_000,604141169,604141326,157,1049,1417,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_001,604141327,604141552,225,1417,1448,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_002,604141553,604141756,203,1448,1319,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_003,604141757,604142790,1033,1319,454,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_004,604143557,604143750,193,454,930,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_005,604143751,604143796,45,930,1411,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_006,604143797,604150566,6769,1411,1284,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_007,604150567,604150626,59,1284,1431,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_008,604150627,604150726,99,1431,1387,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_009,604150727,604150786,59,1387,1277,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
